Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD,X (feet),Y (feet)
Operator 25,Well 10714,MBH,9089.0,43.0,158,100,14,692100.0,21229.0,8/2/2013,OH,48.51716126,-103.568531,SLICKWATER (HC),660.0,44.63,210.4536489,192.8227044,157.1115494,131.5874059,117.4939733,-6113028.270982456,4262238.178739794
Operator 2,Well 10715,MBH,9330.0,27.0,154,96,12,2331951.0,65824.0,4/7/2013,P & P,48.1684809,-102.9772164,,392.787505,121.54,767.1926364,527.4271313,446.6140697,386.3795748,343.9677844,-6018053.073329483,4093406.1409435417
Operator 12,Well 10716,MBH,4241.0,21.0,153,103,21,6385774.0,136333.0,2/2/2014,P & P (cmt.),48.05472166,-103.9349142,SLICKWATER (HC),660.0,79.37,424.0302433,313.0396669,261.0946746,225.1040982,203.4434583,-6254576.615253635,4131751.474475902
Operator 24,Well 10717,TF2.5,9180.0,27.0,154,98,27,3307091.0,83205.0,7/7/2013,P & P,48.13860774,-103.264874,CROSSLINKED (HC),369.46359,92.34,457.6594346,386.4781942,323.8603989,273.2266784,245.1375192,-6088576.783215568,4106127.9916069303
Operator 11,Well 10718,MBH,9337.0,35.0,154,101,31,2669378.0,79945.0,4/29/2013,Sleeves,48.12252265,-103.7316684,,354.20305,70.76,574.9178172,393.4472934,270.5128205,219.216159,188.2916941,-6199033.470247929,4138527.556409288
Operator 6,Well 10719,MBH,4445.0,22.0,154,99,9,2510030.0,43439.0,10/4/2014,P & P (cmt.),48.16962132,-103.4212869,CROSSLINKED (HC),659.969365,94.08,625.4766601,462.4479509,338.6204252,283.7716415,,-6121190.271933657,4129562.0081095234
Operator 30,Well 1072,MBH,6905.0,1.0,146,95,14,486000.0,10196.0,1/1/2007,No Data,47.47151784,-102.744258,,660.0,30.29,124.5890861,110.2016217,96.44422529,87.52648112,80.93633574,-6046372.517826421,3832324.67280419
Operator 2,Well 10720,MBH,9765.0,30.0,155,95,24,2819240.0,67484.0,8/15/2013,P & P,48.23977347,-102.8343981,LINEAR GEL (HC),433.768925,90.48,308.4812623,284.3962306,261.9877274,243.3705895,222.4222003,-5976320.423141595,4106840.2332873475
Operator 18,Well 10721,TFH,8958.0,29.0,153,98,18,1809878.0,32347.0,11/20/2012,Sleeves,48.08016203,-103.3372042,,660.0,63.07,553.6160421,325.6958142,239.0039448,196.2999489,170.9237344,-6112466.73162058,4091669.8542550085
Operator 1,Well 10722,TFH,9167.0,25.0,153,101,6,2980006.0,45855.0,10/30/2013,P & P,48.10935605,-103.7309127,LINEAR GEL (HC),588.162465,32.7,177.5805391,123.449485,107.3580977,95.75936884,87.8287311,-6200470.489559152,4133898.372239216
Operator 18,Well 10723,MBH,9320.0,29.0,153,98,17,1821350.0,39360.0,2/15/2013,Sleeves,48.0813752,-103.3192466,CROSSLINKED (HC),660.0,93.1,723.0111769,458.7223318,336.0453649,279.0488714,242.3679597,-6108139.665035688,4090636.921386416
Operator 25,Well 10724,MBH,9242.0,45.0,158,100,31,2282275.0,42345.0,4/24/2013,OH,48.46055494,-103.6527531,,660.0,43.33,230.9007232,202.6736796,164.2066623,135.7659435,117.504931,-6139388.80738897,4249410.600591428
Operator 1,Well 10725,MBH,9745.0,30.0,157,98,29,2654328.0,50410.0,1/30/2013,P & P,48.4010468,-103.3721656,LINEAR GEL (HC),660.0,77.87,337.8698225,295.1676529,268.0856892,238.3775294,209.9386369,-6081749.294140136,4206007.690979641
Operator 41,Well 10726,MBH,10128.0,33.0,156,100,27,5849602.0,221492.0,3/24/2015,P & P (cmt.),48.31289601,-103.5200774,SLICKWATER (HC),606.668065,108.79,575.6081525,,,,,-6126707.365166349,4187345.312385452
Operator 11,Well 10727,MBH,8864.0,30.0,153,102,10,3963075.0,62679.0,2/12/2013,Sleeves,48.08486913,-103.785621,CROSSLINKED (HC),660.0,78.16,632.3142669,382.9936445,287.5301337,241.4639492,211.2535613,-6216182.314584735,4129897.7972352863
Operator 11,Well 10728,MBH,9621.0,36.0,156,101,16,3811228.0,82323.0,3/13/2013,Sleeves,48.34193972,-103.6734491,,582.33388,68.23,323.04405,292.5487618,243.5294762,212.6232742,193.7760245,-6158679.82253721,4209909.259209638
Operator 24,Well 10729,MBH,9735.0,32.0,154,99,4,4432648.0,105978.0,11/11/2013,P & P (cmt.),48.19555294,-103.4160184,,584.8632,136.23,766.1078238,600.8985317,473.0824019,410.5924465,365.8448389,-6116822.026931257,4138142.706429549
Operator 1,Well 1073,MBH,12196.0,1.0,146,95,6,1398000.0,15128.0,1/1/2007,No Data,47.48883779,-102.8408209,,660.0,41.38,214.4970414,196.5811966,167.6638177,150.3433414,137.2068814,-6067076.03110769,3846107.327391021
Operator 24,Well 10730,MBH,9569.0,35.0,156,101,14,4142612.0,254373.0,2/27/2013,P & P,48.34154888,-103.6391596,,660.0,113.34,595.1019066,472.9344729,388.5656366,341.5041274,305.0104098,-6150791.095181708,4206979.045232406
Operator 24,Well 10731,MBH,8866.0,28.0,153,98,3,3946941.0,89979.0,4/8/2013,P & P,48.10661537,-103.2782761,,557.64595,114.02,569.2636423,538.3629191,428.8297173,354.6424136,308.5744028,-6095555.17435051,4096092.5884659737
Operator 19,Well 10732,MBH,9918.0,32.0,158,95,7,2868520.0,60161.0,6/18/2013,P & P,48.51823578,-102.999168,LINEAR GEL (HC),660.0,125.92,737.0151216,586.0837169,481.3554679,393.8600336,337.3822047,-5981317.899883971,4216909.08011892
Operator 41,Well 10733,MBH,11136.0,34.0,156,100,31,4305528.0,174251.0,7/18/2014,P & P,48.28608309,-103.588063,SLICKWATER (HC),660.0,129.46,614.1354372,530.4952882,417.0994959,,,-6145727.450335069,4183559.794166545
Operator 41,Well 10734,TFH,10518.0,35.0,156,100,31,4205573.0,173201.0,7/18/2014,P & P,48.28608309,-103.5879397,SLICKWATER (HC),660.0,57.55,415.877712,285.4372124,201.5943458,,,-6145698.876791742,4183549.7581818905
Operator 11,Well 10735,TFH,9539.0,36.0,153,100,15,3804705.0,93150.0,1/9/2014,Sleeves,48.06910733,-103.5182369,,660.0,70.59,352.2682446,317.2255095,260.2728468,224.9433852,199.5206005,-6155938.392218582,4102542.293757872
Operator 2,Well 10736,MBH,9314.0,28.0,155,95,24,2967800.0,60592.0,8/7/2013,P & P,48.23960899,-102.8343992,CROSSLINKED (HC),660.0,82.8,272.3537147,254.3721236,244.3239097,228.4608079,199.852071,-5976340.244350479,4106783.0447974917
Operator 1,Well 10737,MBH,9048.0,27.0,153,101,6,3134553.0,44056.0,3/25/2013,P & P,48.10935581,-103.7310971,,626.216585,63.21,312.5246548,254.1091387,209.7687925,189.2322303,174.2000877,-6200513.356325247,4133913.413513716
Operator 18,Well 10738,MBH,9503.0,29.0,153,98,17,1931045.0,30871.0,1/23/2013,Sleeves,48.08137568,-103.3190419,,660.0,113.06,745.2662722,572.0030682,422.7427131,344.7914384,297.4495946,-6108091.952704942,4090620.514481688
Operator 2,Well 10739,MBH,8887.0,45.0,159,96,9,4668620.0,101683.0,9/15/2014,P & P (cmt.),48.60615404,-103.0959063,LINEAR GEL (HC),660.0,55.64,235.338593,202.0490905,177.5038352,154.825042,,-5993136.530066704,4255223.752461899
Operator 7,Well 1074,MBH,8907.0,1.0,143,97,29,1368000.0,37023.0,1/1/2007,No Data,47.17514546,-103.0099491,,660.0,18.67,115.7462196,87.74928775,65.87223318,54.10548616,47.17839141,-6144359.334179087,3750838.9570708247
Operator 35,Well 10740,MBH,9715.0,30.0,157,102,2,3018062.0,51223.0,2/1/2013,OH,48.45899325,-103.8344901,,660.0,53.78,222.3537147,200.109577,163.8669735,149.112426,140.6832128,-6181544.624101281,4263691.4976207325
Operator 41,Well 10741,MBH,9941.0,39.0,156,100,27,8733806.0,124237.0,3/1/2015,P & P (cmt.),48.31289898,-103.519584,LINEAR GEL (HC),612.62986,111.45,565.4503616,,,,,-6126592.684446154,4187306.2911677314
Operator 2,Well 10742,MBH,9352.0,30.0,154,95,18,2620207.0,77451.0,4/3/2013,P & P,48.16235068,-102.9557521,,660.0,139.11,669.8553583,558.3497699,471.4003945,425.2100226,390.9955073,-6013788.659767758,4089557.678693158
Operator 41,Well 10743,TFH,9957.0,32.0,154,100,12,4008929.0,94390.0,8/8/2013,P & P,48.18204391,-103.4785478,,660.0,129.18,599.4411571,483.1141793,411.4617576,371.0095697,340.3900942,-6132984.465818092,4138525.223910491
Operator 1,Well 10744,MBH,10234.0,29.0,155,97,30,2492029.0,44204.0,2/20/2013,P & P,48.22519781,-103.1999337,,660.0,78.73,433.8921762,369.9430199,288.4122288,238.5565052,210.7878589,-6063043.866148243,4130995.1892610607
Operator 24,Well 10745,MBH,8592.0,28.0,154,99,4,3845895.0,83911.0,8/1/2013,P & P (cmt.),48.19555288,-103.4158953,CROSSLINKED (HC),579.682345,115.08,513.3136095,471.1921981,398.9097085,346.7930455,308.7853386,-6116793.443186408,4138132.7065012995
Operator 35,Well 10746,MBH,9388.0,30.0,158,101,17,2777043.0,36423.0,3/25/2013,OH,48.51700897,-103.7696777,,660.0,49.61,191.4858646,164.8367302,150.9752356,139.8312514,129.0242165,-6159461.273090469,4278535.854329393
Operator 24,Well 10747,MBH,8855.0,28.0,153,98,3,4261928.0,90814.0,4/8/2013,P & P,48.10646709,-103.2783867,,569.4606,116.87,616.765286,524.7972825,433.82643,360.2637154,314.7600263,-6095598.80892141,4096050.000326842
Operator 19,Well 10748,TFH,9663.0,33.0,158,95,7,2901010.0,60658.0,6/12/2013,P & P,48.51823393,-102.9989616,,660.0,123.89,663.8067061,532.3142669,447.1455183,377.3321645,327.2983783,-5981270.368751127,4216892.0233625835
Operator 11,Well 10749,TFH,9588.0,36.0,153,100,25,3719207.0,91083.0,9/16/2013,Sleeves,48.04617202,-103.4753024,,628.14015,123.31,695.0690335,644.3896559,491.0913872,408.0173862,357.0321061,-6148733.472989471,4091082.317462834
